run_id,execution_stage,platform,packaged_notebook,source_path,execution_notebook_sha256,frozen_canonical_notebook_sha256,current_run_status
no1,complete_run,T4,notebooks_used/no1_colab.ipynb,Colab_Notebook_Variants/no1_colab.ipynb,86746f0f642f1cd90637c97ce4d20230dc6c41c82d30068af99c4c8240a58f57,02fcfa9433e275a7a188a970d6a6417da87b040be9925cc297de19352549f8a6,DONE_VALIDATED
no2,complete_run,P100,notebooks_used/no2_kaggle.ipynb,Kaggle_35_Training_Notebooks/no2.ipynb,ea53e2ec59e478b900f192aaf3e22bfbdc379b00f115efd57968425557035afd,ea53e2ec59e478b900f192aaf3e22bfbdc379b00f115efd57968425557035afd,DONE_VALIDATED
no3,complete_run,T4,notebooks_used/no3_colab.ipynb,Colab_Notebook_Variants/no3_colab.ipynb,de9f6c7eadb219f6db2fbac2a8da87a91512402e29bb86c2a70ca2fb50791475,4729df449567d37d3179c38582218a97abf2f6476935c74c32d6b595178fba04,DONE_VALIDATED
no4,complete_run,P100,notebooks_used/no4_kaggle.ipynb,Kaggle_35_Training_Notebooks/no4.ipynb,fe070c8240d6524ba76a05bac39288eec95aef18ba75b4de1c0324927e231bf9,fe070c8240d6524ba76a05bac39288eec95aef18ba75b4de1c0324927e231bf9,DONE_VALIDATED
no5,complete_run,RTX 3050,notebooks_used/no5_local.ipynb,Local_Notebook_Variants/no5_local.ipynb,d3e03f4e43b05ef8cb40cba6d5cdc116631783e569fa01f39a5ac685b73bcc1b,37d864ccf4232390bfaa1fea10a9a1189099d0bcce9f869afa07ef1730f6be68,DONE_VALIDATED
no6,complete_run,P100,notebooks_used/no6_kaggle.ipynb,Kaggle_Cloud_Runs/no6/no6_kaggle.ipynb,7aa28fd148b9522240a6dc7630ba32b3765db15cb1acfe8b290e86b6294eca8e,302af5a738930d537aafd918fab9920188775d130d8f9896ca1ed8fed42838de,DONE_VALIDATED
no7,complete_run,P100,notebooks_used/no7_kaggle.ipynb,Kaggle_Cloud_Runs/no7/no7_kaggle.ipynb,a0f32b489f77350bfe38a2c24b8780ab036b6780092470ff6574aabf9e29a406,6325665acdea513068b4a6914f7b6864a71046656f74e826fb93e5a9892fcfed,DONE_VALIDATED
no8,complete_run,P100,notebooks_used/no8_kaggle.ipynb,Kaggle_Cloud_Runs/no8/no8_kaggle.ipynb,33bb46ba2f7dc3494f290038dddb680220d8609daf3137d833dcb579b0b710a7,a67a1f7ec7d96ef7c25a4891cd5fbbbd3bb04c6ff56bfd2131f78994b3a00a63,DONE_VALIDATED
no9,complete_run,P100,notebooks_used/no9_kaggle.ipynb,Kaggle_Cloud_Runs/no9/no9_kaggle.ipynb,2eeea924a20518affbccce70ab4d3d511328a9cd3edbf5c8610fb0b293a48b14,bc4b16a37e7247fd5fef33ae9148ab5f888b01c35d8afa7671d08bcb73862f8d,DONE_VALIDATED
no10,complete_run,RTX 3050,notebooks_used/no10_local.ipynb,Local_Notebook_Variants/no10_local.ipynb,7058ad788bbbe5ca9854ce71a3dc013c13ddb6a501d047fb7fe0b0da5269ca8d,1dee93536a39528ca03bba818e6c6aa9e0fe9b04cc8510fe4c551d492a486937,DONE_VALIDATED
no11,complete_run,RTX 3050,notebooks_used/no11_local.ipynb,Local_Notebook_Variants/no11_local.ipynb,06b738c093ebb1a126e2542e0561d06a6d29f2f1a9336001d2fe3073c16adf78,a3cbdc54b4cd7c0aa7f6a277f3903ca363c4997b010f1c5b1b4086259ba6193e,DONE_VALIDATED
no12,complete_run,RTX 3050,notebooks_used/no12_local.ipynb,Local_Notebook_Variants/no12_local.ipynb,1cbe523df4e96cb85a6b7e221488a4072fec86c5e4414bd3d898eee2faa3436c,c54c99e46397dd6255eb55082ecdfe2e7252c9fdb0a930bb9f1b82c2963a485a,DONE_VALIDATED
no13,complete_run,RTX 3050,notebooks_used/no13_local.ipynb,Local_Notebook_Variants/no13_local.ipynb,fdcdacf42f6ac85ab214f15fdf419c04bc74189f81606900af97b29e242a38d3,35edfd8de4122e03b3b85aa04b299017d7d514be6b1cba9dae01c3ee87b8e454,DONE_VALIDATED
no14,complete_run,RTX 3050,notebooks_used/no14_local.ipynb,Local_Notebook_Variants/no14_local.ipynb,2a519871781d4c5826ca2d2c715c591f9682e7db192de5caddc53ae437232deb,066103f45e6e8848bad2d5d7440fa034083c5f52edb538fcacbd6d752bffcfa3,DONE_VALIDATED
no15,complete_run,RTX 3050,notebooks_used/no15_local.ipynb,Local_Notebook_Variants/no15_local.ipynb,1592f65d45c0f148acbb1f7215ddbf9400bdc0588df3643a66b5088ce7c67301,ed3aa555e908b163cc733dc9bee870c81225caa6077d6938de174af12972c0d5,DONE_VALIDATED
no16,complete_run,RTX 3050,notebooks_used/no16_local.ipynb,Local_Notebook_Variants/no16_local.ipynb,b49d27e11f9700590f7ca78cdca88487b41b8b934d6e0dca013a8061636559a7,b59044e6dbb159b324b00e44bbd5429483a71f05e1d93c93048fb211460c00d9,DONE_VALIDATED
