run_id,notebook,notebook_sha256,architecture,framework,analysis_role,cv_fold,outer_split_seed,inner_split_seed,training_seed,fit_train_cases,fit_train_patients,tuning_cases,tuning_patients,outer_test_cases,outer_test_patients,split_sha256,training_budget,expected_zip,source_notebook,supersedes_previous_outer_selected_run,superseded_kaggle_kernel,zip_contract,post_return_action,assigned_to,status,result_received,detailed_zip_validated
no1,no1.ipynb,02fcfa9433e275a7a188a970d6a6417da87b040be9925cc297de19352549f8a6,Standard 3D U-Net,keras,primary_five_fold_cross_validation,1,2026,6203,2026,381,130,94,32,119,41,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no1_unet_fold1_seed2026_results.zip,generated corrected nested 35-run matrix,yes,atillam/mu-glioma-adaptive-standard-3d-unet,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no2,no2.ipynb,ea53e2ec59e478b900f192aaf3e22bfbdc379b00f115efd57968425557035afd,Standard 3D U-Net,keras,primary_five_fold_cross_validation,2,2026,6204,2026,381,130,94,32,119,41,675a1598256128813e41b8b301341050284feb0709de3c63bb6a72cd5601e22e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no2_unet_fold2_seed2026_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no3,no3.ipynb,4729df449567d37d3179c38582218a97abf2f6476935c74c32d6b595178fba04,Standard 3D U-Net,keras,primary_five_fold_cross_validation,3,2026,6205,2026,381,130,94,32,119,41,03e6710ea8a4eb8a4e679830cf1d64bde85bd9c31bfc502cf292b9eb6079023e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no3_unet_fold3_seed2026_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no4,no4.ipynb,fe070c8240d6524ba76a05bac39288eec95aef18ba75b4de1c0324927e231bf9,Standard 3D U-Net,keras,primary_five_fold_cross_validation,4,2026,6206,2026,379,130,96,33,119,40,a664a27ef9b23f6f5d0131128e0350bdcf6569cfa08e28047c24f652bcce125e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no4_unet_fold4_seed2026_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no5,no5.ipynb,37d864ccf4232390bfaa1fea10a9a1189099d0bcce9f869afa07ef1730f6be68,Standard 3D U-Net,keras,primary_five_fold_cross_validation,5,2026,6207,2026,380,130,96,33,118,40,fc04313973b90ab73bb65d621636de5410401e019c84d80c93c3efa1c73ef1e6,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no5_unet_fold5_seed2026_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no6,no6.ipynb,302af5a738930d537aafd918fab9920188775d130d8f9896ca1ed8fed42838de,Standard 3D U-Net,keras,training_seed_robustness_fold1,1,2026,6203,2027,381,130,94,32,119,41,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no6_unet_fold1_seed2027_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no7,no7.ipynb,6325665acdea513068b4a6914f7b6864a71046656f74e826fb93e5a9892fcfed,Standard 3D U-Net,keras,training_seed_robustness_fold1,1,2026,6203,2028,381,130,94,32,119,41,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no7_unet_fold1_seed2028_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no8,no8.ipynb,a67a1f7ec7d96ef7c25a4891cd5fbbbd3bb04c6ff56bfd2131f78994b3a00a63,Residual 3D U-Net,keras,primary_five_fold_cross_validation,1,2026,6203,2026,381,130,94,32,119,41,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no8_residual-unet_fold1_seed2026_results.zip,generated corrected nested 35-run matrix,yes,atillam/mu-glioma-adaptive-residual-3d-unet,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no9,no9.ipynb,bc4b16a37e7247fd5fef33ae9148ab5f888b01c35d8afa7671d08bcb73862f8d,Residual 3D U-Net,keras,primary_five_fold_cross_validation,2,2026,6204,2026,381,130,94,32,119,41,675a1598256128813e41b8b301341050284feb0709de3c63bb6a72cd5601e22e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no9_residual-unet_fold2_seed2026_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
no10,no10.ipynb,1dee93536a39528ca03bba818e6c6aa9e0fe9b04cc8510fe4c551d492a486937,Residual 3D U-Net,keras,primary_five_fold_cross_validation,3,2026,6205,2026,381,130,94,32,119,41,03e6710ea8a4eb8a4e679830cf1d64bde85bd9c31bfc502cf292b9eb6079023e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,MU_Glioma_no10_residual-unet_fold3_seed2026_results.zip,generated corrected nested 35-run matrix,,,mu_glioma_detailed_zip_v2_nested,validate_and_recompute,,unassigned,,
