architecture,target,absent_reference_scans,false_positive_scans,false_positive_scan_rate,scan_rate_wilson_ci95_low,scan_rate_wilson_ci95_high,patients_with_absent_reference,patients_with_any_false_positive,patient_any_false_positive_rate,patient_rate_wilson_ci95_low,patient_rate_wilson_ci95_high,mean_predicted_volume_ml_all_absent_scans,median_predicted_volume_ml_all_absent_scans,p95_predicted_volume_ml_all_absent_scans,total_false_positive_lesions,median_false_positive_lesions_per_absent_scan
Standard 3D U-Net,Non-enhancing tumor core,279,176,0.6308243727598566,0.5727792414810946,0.685315877616272,122,100,0.819672131147541,0.7420367275186709,0.8777907977735996,0.21913978494623657,0.015,1.0798999999999996,1230,2.0
Standard 3D U-Net,FLAIR hyperintensity / edema,3,3,1.0,0.4385029682449546,1.0,1,1,1.0,0.20654931437723745,1.0,6.924333333333333,5.628,12.5634,65,19.0
Standard 3D U-Net,Enhancing tissue,48,48,1.0,0.9258998703338824,0.9999999999999999,29,29,1.0,0.8830302015002593,1.0,2.3773958333333334,0.13,3.5357499999999993,421,4.0
Standard 3D U-Net,Resection cavity,74,74,1.0,0.950650220603614,1.0000000000000002,43,43,1.0,0.9179901967742088,1.0,3.73627027027027,2.059,9.391149999999989,1426,15.5
Residual 3D U-Net,Non-enhancing tumor core,279,157,0.5627240143369175,0.5040559574699169,0.6196882777137521,122,92,0.7540983606557377,0.6707060180057385,0.8219773995342712,0.23948745519713263,0.017,1.2336999999999967,933,1.0
Residual 3D U-Net,FLAIR hyperintensity / edema,3,3,1.0,0.4385029682449546,1.0,1,1,1.0,0.20654931437723745,1.0,1.4546666666666666,0.355,3.4473999999999996,24,9.0
Residual 3D U-Net,Enhancing tissue,48,46,0.9583333333333334,0.8602434412954456,0.9884981065106133,29,29,1.0,0.8830302015002593,1.0,1.4945833333333336,0.14400000000000002,4.276499999999997,485,5.5
Residual 3D U-Net,Resection cavity,74,74,1.0,0.950650220603614,1.0000000000000002,43,43,1.0,0.9179901967742088,1.0,3.5263108108108114,1.6760000000000002,11.105449999999998,1235,14.0
Controlled 3D V-Net,Non-enhancing tumor core,279,212,0.7598566308243727,0.7064197858930205,0.8062349027250367,122,111,0.9098360655737705,0.8457432172942352,0.9489074561573936,0.24227598566308242,0.03,1.038599999999998,2690,4.0
Controlled 3D V-Net,FLAIR hyperintensity / edema,3,3,1.0,0.4385029682449546,1.0,1,1,1.0,0.20654931437723745,1.0,2.6780000000000004,1.744,5.6878,26,8.0
Controlled 3D V-Net,Enhancing tissue,48,47,0.9791666666666666,0.8910078200474814,0.9963128890224893,29,28,0.9655172413793104,0.8282447812067973,0.9938867857072374,1.8448541666666667,0.15700000000000003,4.251399999999997,627,9.0
Controlled 3D V-Net,Resection cavity,74,74,1.0,0.950650220603614,1.0000000000000002,43,43,1.0,0.9179901967742088,1.0,4.987216216216216,2.7889999999999997,15.887699999999985,2080,21.0
Controlled 3D U-Net++,Non-enhancing tumor core,279,198,0.7096774193548387,0.6538540526840538,0.7598052477870684,122,103,0.8442622950819673,0.769533914546802,0.8979726511525664,0.488853046594982,0.043000000000000003,2.4186999999999963,1967,3.0
Controlled 3D U-Net++,FLAIR hyperintensity / edema,3,3,1.0,0.4385029682449546,1.0,1,1,1.0,0.20654931437723745,1.0,21.555333333333333,16.169,39.3818,64,21.0
Controlled 3D U-Net++,Enhancing tissue,48,46,0.9583333333333334,0.8602434412954456,0.9884981065106133,29,29,1.0,0.8830302015002593,1.0,3.42475,0.40049999999999997,7.384949999999998,489,4.0
Controlled 3D U-Net++,Resection cavity,74,74,1.0,0.950650220603614,1.0000000000000002,43,43,1.0,0.9179901967742088,1.0,4.389121621621622,2.6580000000000004,10.28684999999999,1012,12.0
nnU-Net v2 3D fullres,Non-enhancing tumor core,279,62,0.2222222222222222,0.17739776833210869,0.2745920472830715,122,48,0.39344262295081966,0.31128161661288445,0.48210920828969206,0.12124014336917563,0.0,0.3187999999999946,142,0.0
nnU-Net v2 3D fullres,FLAIR hyperintensity / edema,3,2,0.6666666666666666,0.2076596008020477,0.9385080552796037,1,1,1.0,0.20654931437723745,1.0,0.04133333333333333,0.031,0.08679999999999999,2,1.0
nnU-Net v2 3D fullres,Enhancing tissue,48,25,0.5208333333333334,0.3832923230334281,0.6552868382304838,29,19,0.6551724137931034,0.47345104090476137,0.80059281473325,0.20252083333333334,0.006,1.2309999999999994,82,1.0
nnU-Net v2 3D fullres,Resection cavity,74,43,0.581081081081081,0.467402844507797,0.6867566507252213,43,29,0.6744186046511628,0.5251621096752948,0.7950670287343129,1.4094054054054053,0.002,5.3041,111,1.0
