architecture,cv_fold,n_patients,mean_dice,median_dice,sd_dice
Controlled 3D U-Net++,1,41,0.7596242953845225,0.8236467255585372,0.1952986039494663
Controlled 3D U-Net++,2,41,0.7858221111061552,0.8577643440353908,0.19410427525927237
Controlled 3D U-Net++,3,41,0.775693166454992,0.804661211891204,0.14556077791958275
Controlled 3D U-Net++,4,40,0.7216615189409715,0.7782284487172054,0.21310396955275213
Controlled 3D U-Net++,5,40,0.7625811260143689,0.826563481346637,0.18610274980400693
Controlled 3D V-Net,1,41,0.7989753903623664,0.8634308923146845,0.1832972959948664
Controlled 3D V-Net,2,41,0.7746972032373187,0.8588154655367556,0.19728916996572157
Controlled 3D V-Net,3,41,0.7720822596119534,0.8020163706218637,0.1491103200832404
Controlled 3D V-Net,4,40,0.776930332833514,0.8421597698747054,0.20100455552182506
Controlled 3D V-Net,5,40,0.7799709441020369,0.8506256325708059,0.18476796751855157
Residual 3D U-Net,1,41,0.795613141498587,0.8522762832361002,0.1884831590446345
Residual 3D U-Net,2,41,0.7753091330862277,0.8375105908199213,0.196932937845667
Residual 3D U-Net,3,41,0.7868262714605228,0.825542632369842,0.1490596715668016
Residual 3D U-Net,4,40,0.7761936467124497,0.8338343648400797,0.17898956933500015
Residual 3D U-Net,5,40,0.7888780509515684,0.852454473504198,0.18106446110612506
Standard 3D U-Net,1,41,0.7860327894884233,0.8507615353660594,0.18790794169550418
Standard 3D U-Net,2,41,0.7954942419504255,0.8682974025040994,0.19360918511644395
Standard 3D U-Net,3,41,0.7700624319661874,0.813666847577218,0.14994659879078812
Standard 3D U-Net,4,40,0.7591012514767096,0.8293148535108652,0.19750304501437382
Standard 3D U-Net,5,40,0.7602915436227947,0.8260808103487705,0.19777971478761364
nnU-Net v2 3D fullres,1,41,0.8953891487007755,0.9430092211400772,0.17261952257771604
nnU-Net v2 3D fullres,2,41,0.9002129052355593,0.957411817683266,0.16384860366192833
nnU-Net v2 3D fullres,3,41,0.8928695957195737,0.9375481878138494,0.12598004650052028
nnU-Net v2 3D fullres,4,40,0.8346285117109022,0.8934812556052769,0.17290777929640952
nnU-Net v2 3D fullres,5,40,0.8713551093368499,0.9279126174156502,0.14951610499290338
