run_id,architecture,analysis_role,fold,training_seed,platform,completed_epochs,best_epoch,stop_reason,training_hours,total_parameters,peak_gpu_memory_gib,inference_seconds_per_case,archive_mib,zip_path,zip_sha256
no1,Standard 3D U-Net,primary_five_fold_cross_validation,1,2026,T4,66,63,early_stopping,4.00870580368361,5647749,2.526329278945923,10.829094491747869,138.07555198669434,MU_Glioma_Research_Package/results/validated_zips/no1/MU_Glioma_no1_unet_fold1_seed2026_results.zip,afde896a5e299987730cf394bbdb434fbaf8247493c1f4cc721b1ffbd3450734
no2,Standard 3D U-Net,primary_five_fold_cross_validation,2,2026,P100,62,61,early_stopping,3.4156678325263887,5647749,2.526329278945923,10.537614251806687,137.88933849334717,MU_Glioma_Research_Package/results/validated_zips/no2/MU_Glioma_no2_unet_fold2_seed2026_results.zip,2b64b471df8a23f895e26bd94da9c673cc172d8beef12cefc71faf93031e5b3c
no3,Standard 3D U-Net,primary_five_fold_cross_validation,3,2026,T4,53,45,early_stopping,3.131641011676389,5647749,2.526329278945923,10.701116364613492,137.90160179138184,MU_Glioma_Research_Package/results/validated_zips/no3/MU_Glioma_no3_unet_fold3_seed2026_results.zip,5604c0a8d71230cfd30fa9a16a631ea9a0e1a0d6219ba66804651c619c471068
no4,Standard 3D U-Net,primary_five_fold_cross_validation,4,2026,P100,57,56,early_stopping,3.3504963109627774,5647749,2.526329278945923,10.852148824033753,138.78149700164795,MU_Glioma_Research_Package/results/validated_zips/no4/MU_Glioma_no4_unet_fold4_seed2026_results.zip,4a30ed8a87ce5f1ca7e2377a13d8a9851aa655e2dc96a4beca28bbeab1c6f41d
no5,Standard 3D U-Net,primary_five_fold_cross_validation,5,2026,RTX 3050,68,67,early_stopping,2.033588860015281,5647749,1.4013671875,5.532022547390424,137.78560066223145,MU_Glioma_Research_Package/results/validated_zips/no5/MU_Glioma_no5_unet_fold5_seed2026_results.zip,7d34e0572f9a7b3e23af926a7c75efdd6227930ab1a47dfa0efdd512a82070ec
no6,Standard 3D U-Net,training_seed_robustness_fold1,1,2027,P100,53,53,early_stopping,2.8971716909766667,5647749,2.526329278945923,10.503413294714388,138.21131229400635,MU_Glioma_Research_Package/results/validated_zips/no6/MU_Glioma_no6_unet_fold1_seed2027_results.zip,917e1dca6a3fbb723261dc6c2b7b0b459dbe074d8291e7b13937f741680dc677
no7,Standard 3D U-Net,training_seed_robustness_fold1,1,2028,P100,47,39,early_stopping,2.8432006857369445,5647749,2.526329278945923,11.777112657739435,138.29004001617432,MU_Glioma_Research_Package/results/validated_zips/no7/MU_Glioma_no7_unet_fold1_seed2028_results.zip,d49df6991d12750186b5d21e1494f8ddb128e8a4e3f3b3ee76fb7b9e66cdd1ea
no8,Residual 3D U-Net,primary_five_fold_cross_validation,1,2026,P100,50,42,early_stopping,2.804353293175,5736325,2.5421981811523438,11.79953127427724,140.20880126953125,MU_Glioma_Research_Package/results/validated_zips/no8/MU_Glioma_no8_residual-unet_fold1_seed2026_results.zip,3f22299006bafa8f3a2bea68b22270cdc836b9e07a0ed92efcf690ce33617b93
no9,Residual 3D U-Net,primary_five_fold_cross_validation,2,2026,P100,43,35,early_stopping,2.4336660099105556,5736325,2.5421981811523438,12.241261625764691,140.31488418579102,MU_Glioma_Research_Package/results/validated_zips/no9/MU_Glioma_no9_residual-unet_fold2_seed2026_results.zip,0fbd0daf9d03d9fab5be6cf67ec381b8bd633951622f9a2d55dbcdbacaf4bedb
no10,Residual 3D U-Net,primary_five_fold_cross_validation,3,2026,RTX 3050,47,46,early_stopping,1.5730559086013878,5736325,1.4359130859375,6.988725999117821,140.2778778076172,MU_Glioma_Research_Package/results/validated_zips/no10/MU_Glioma_no10_residual-unet_fold3_seed2026_results.zip,c3ceee4b7407d8f4e9ace7524aa96b9bf88c84e59e98dd32615a0606087e3d69
