architecture,training_seed,n_patients,mean_dice
Controlled 3D U-Net++,2026,41,0.7596242953845225
Controlled 3D U-Net++,2027,41,0.7661157675446937
Controlled 3D U-Net++,2028,41,0.7851350745901136
Controlled 3D V-Net,2026,41,0.7989753903623664
Controlled 3D V-Net,2027,41,0.7778730928307414
Controlled 3D V-Net,2028,41,0.7715805689349878
Residual 3D U-Net,2026,41,0.795613141498587
Residual 3D U-Net,2027,41,0.7929116207367398
Residual 3D U-Net,2028,41,0.8038684032777312
Standard 3D U-Net,2026,41,0.7860327894884233
Standard 3D U-Net,2027,41,0.7670604044075069
Standard 3D U-Net,2028,41,0.7724643509202769
nnU-Net v2 3D fullres,2026,41,0.8953891487007755
nnU-Net v2 3D fullres,2027,41,0.8973620057079469
nnU-Net v2 3D fullres,2028,41,0.9083685897037246
