architecture,target,reference_present_patients,reference_present_scans,mean_patient_dice,dice_bootstrap_ci95_low,dice_bootstrap_ci95_high,mean_patient_pooled_iou,mean_patient_pooled_precision,mean_patient_pooled_recall,median_patient_hd95_mm,mean_patient_average_surface_distance_mm,mean_patient_surface_dice_1mm,mean_patient_lesion_sensitivity,undefined_surface_scans,surface_defined_scans
Standard 3D U-Net,Non-enhancing tumor core,145,315,0.29954973672260027,0.2638367657319969,0.3366177584047199,0.22366205016001753,0.4709349000418138,0.35691549484477725,11.489125293076055,4.579466022131375,0.4435326591747976,0.6180582378219679,9,306
Standard 3D U-Net,FLAIR hyperintensity / edema,202,591,0.7560055075528299,0.729898470175362,0.7805183248047353,0.6633115854699749,0.7496563058190879,0.8406055683031138,24.67245537734064,5.016134804184688,0.7412863258424955,0.7297028307129566,0,591
Standard 3D U-Net,Enhancing tissue,195,546,0.6703696687603972,0.6369080712433393,0.7024237629956654,0.5952682819553539,0.719584881972597,0.7665986399690154,9.219544457292889,5.009085092241315,0.7265789794593216,0.7267704925971936,1,545
Standard 3D U-Net,Resection cavity,189,520,0.45528102087337147,0.41856512708239,0.49169921917846304,0.3617616228472419,0.4753479413355698,0.639531303560621,64.96922348312314,11.448396540226744,0.4137965951392121,0.7728477805893328,0,520
Standard 3D U-Net,Tumor-related region (1-3),203,592,0.7743393093772741,0.7481536657028005,0.798596443149698,0.6845557137254188,0.771833900270292,0.8515842107490205,28.106938645110397,5.323601276459967,0.7205349159519809,0.795652208236237,0,592
Standard 3D U-Net,All postoperative regions (1-4),203,594,0.7988834992435531,0.7726134457723918,0.8231611682618268,0.7154557117277875,0.7857932810448305,0.8748564275326285,39.10242959203431,6.066672885267178,0.7058209999056465,0.8342009122947756,0,594
Residual 3D U-Net,Non-enhancing tumor core,145,315,0.3551855703689057,0.3163753257565169,0.3943860843863359,0.26634040869923625,0.5219846673681067,0.43068265280699003,11.58208495693287,4.081813912590526,0.48556467864370956,0.7116933849413438,7,308
Residual 3D U-Net,FLAIR hyperintensity / edema,202,591,0.76520820244306,0.7393174732367293,0.7896223338751973,0.6768297351154211,0.7667314904513703,0.8414458855473226,21.700136935988596,4.803813244566524,0.7515260389885873,0.7522016397475282,0,591
Residual 3D U-Net,Enhancing tissue,195,546,0.6980517855340677,0.6649637709726807,0.7297576027814058,0.6290463142196557,0.7487153004623643,0.7900611164120359,6.782329983125268,4.059340776402482,0.7544132280178418,0.792422654191926,1,545
Residual 3D U-Net,Resection cavity,189,520,0.4695723737223098,0.4314276591441429,0.507660261955429,0.3792931956856571,0.510862613783967,0.6286288535899868,45.52210285134672,9.84313102209513,0.4426989569956283,0.7581203756688064,0,520
Residual 3D U-Net,Tumor-related region (1-3),203,592,0.7845840310069929,0.7590464507110004,0.8080690742076547,0.698329548547032,0.7879364996506114,0.8524194062457845,23.419053890665825,4.983929950671247,0.7336088782831677,0.8274691558109999,0,592
Residual 3D U-Net,All postoperative regions (1-4),203,594,0.8112016084032534,0.7852822238745523,0.8349459160371824,0.7334770794212305,0.8082001805218214,0.8748942169101844,33.906861281390945,5.544572648116465,0.7265910131426719,0.8570102752796614,0,594
Controlled 3D V-Net,Non-enhancing tumor core,145,315,0.2968463843137033,0.26184804729184374,0.3325017712462641,0.21324880774979216,0.47723045559079247,0.34379970270490956,11.148922978775023,4.898473785536597,0.4599871229016726,0.7069800183287419,5,310
Controlled 3D V-Net,FLAIR hyperintensity / edema,202,591,0.7647604747980038,0.7390055508652331,0.7888929712363563,0.6766755751781306,0.7678821191422582,0.8384466703149571,18.97288423731272,4.630658643047745,0.75170673464717,0.7700913658931386,0,591
Controlled 3D V-Net,Enhancing tissue,195,546,0.6784032341809204,0.6446987030337824,0.7103239185936344,0.608897182146972,0.7216148728982557,0.7877876113619372,9.433981132056603,4.929005623041891,0.7323924120575539,0.7600594208413379,0,546
