run_id,done,status,platform,architecture,analysis_role,cv_fold,outer_split_seed,inner_split_seed,training_seed,fit_train_cases,fit_train_patients,tuning_cases,tuning_patients,outer_test_cases,outer_test_patients,completed_epochs,best_epoch,best_tuning_dice,outer_test_all_postoperative_mean_dice,archive_validation,prediction_files,archive_bytes,archive_sha256,organized_zip,original_zip,expected_zip,canonical_notebook,canonical_notebook_sha256,split_sha256,training_budget,notes
no1,YES,DONE_VALIDATED,T4,Standard 3D U-Net,primary_five_fold_cross_validation,1,2026,6203,2026,381,130,94,32,119,41,66,63,0.5965844988822937,0.7989148473508804,PASS,119,144782710,afde896a5e299987730cf394bbdb434fbaf8247493c1f4cc721b1ffbd3450734,Returned_Results/matrix_runs/no1/MU_Glioma_no1_unet_fold1_seed2026_results.zip,zips/MU_Glioma_no1_unet_fold1_seed2026_results.zip,MU_Glioma_no1_unet_fold1_seed2026_results.zip,no1.ipynb,02fcfa9433e275a7a188a970d6a6417da87b040be9925cc297de19352549f8a6,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no2,YES,DONE_VALIDATED,P100,Standard 3D U-Net,primary_five_fold_cross_validation,2,2026,6204,2026,381,130,94,32,119,41,62,61,0.5712268352508545,0.8302363251626184,PASS,119,144587451,2b64b471df8a23f895e26bd94da9c673cc172d8beef12cefc71faf93031e5b3c,Returned_Results/matrix_runs/no2/MU_Glioma_no2_unet_fold2_seed2026_results.zip,zips/MU_Glioma_no2_unet_fold2_seed2026_results.zip,MU_Glioma_no2_unet_fold2_seed2026_results.zip,no2.ipynb,ea53e2ec59e478b900f192aaf3e22bfbdc379b00f115efd57968425557035afd,675a1598256128813e41b8b301341050284feb0709de3c63bb6a72cd5601e22e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no3,YES,DONE_VALIDATED,T4,Standard 3D U-Net,primary_five_fold_cross_validation,3,2026,6205,2026,381,130,94,32,119,41,53,45,0.5275169610977173,0.7889195907405254,PASS,119,144600310,5604c0a8d71230cfd30fa9a16a631ea9a0e1a0d6219ba66804651c619c471068,Returned_Results/matrix_runs/no3/MU_Glioma_no3_unet_fold3_seed2026_results.zip,zips/MU_Glioma_no3_unet_fold3_seed2026_results.zip,MU_Glioma_no3_unet_fold3_seed2026_results.zip,no3.ipynb,4729df449567d37d3179c38582218a97abf2f6476935c74c32d6b595178fba04,03e6710ea8a4eb8a4e679830cf1d64bde85bd9c31bfc502cf292b9eb6079023e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no4,YES,DONE_VALIDATED,P100,Standard 3D U-Net,primary_five_fold_cross_validation,4,2026,6206,2026,379,130,96,33,119,40,57,56,0.5153958797454834,0.7799271267004131,PASS,119,145522947,4a30ed8a87ce5f1ca7e2377a13d8a9851aa655e2dc96a4beca28bbeab1c6f41d,Returned_Results/matrix_runs/no4/MU_Glioma_no4_unet_fold4_seed2026_results.zip,zips/MU_Glioma_no4_unet_fold4_seed2026_results.zip,MU_Glioma_no4_unet_fold4_seed2026_results.zip,no4.ipynb,fe070c8240d6524ba76a05bac39288eec95aef18ba75b4de1c0324927e231bf9,a664a27ef9b23f6f5d0131128e0350bdcf6569cfa08e28047c24f652bcce125e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no5,YES,DONE_VALIDATED,RTX 3050,Standard 3D U-Net,primary_five_fold_cross_validation,5,2026,6207,2026,380,130,96,33,118,40,68,67,0.5894574522972107,0.7662707016880287,PASS,118,144478674,7d34e0572f9a7b3e23af926a7c75efdd6227930ab1a47dfa0efdd512a82070ec,Returned_Results/matrix_runs/no5/MU_Glioma_no5_unet_fold5_seed2026_results.zip,local_training_outputs/MU_Glioma_no5_unet_fold5_seed2026_results.zip,MU_Glioma_no5_unet_fold5_seed2026_results.zip,no5.ipynb,37d864ccf4232390bfaa1fea10a9a1189099d0bcce9f869afa07ef1730f6be68,fc04313973b90ab73bb65d621636de5410401e019c84d80c93c3efa1c73ef1e6,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no6,YES,DONE_VALIDATED,P100,Standard 3D U-Net,training_seed_robustness_fold1,1,2026,6203,2027,381,130,94,32,119,41,53,53,0.4754982888698578,0.7730817078399416,PASS,119,144925065,917e1dca6a3fbb723261dc6c2b7b0b459dbe074d8291e7b13937f741680dc677,Returned_Results/matrix_runs/no6/MU_Glioma_no6_unet_fold1_seed2027_results.zip,Kaggle_Returned_Zips/no6/MU_Glioma_no6_unet_fold1_seed2027_results.zip,MU_Glioma_no6_unet_fold1_seed2027_results.zip,no6.ipynb,302af5a738930d537aafd918fab9920188775d130d8f9896ca1ed8fed42838de,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no7,YES,DONE_VALIDATED,P100,Standard 3D U-Net,training_seed_robustness_fold1,1,2026,6203,2028,381,130,94,32,119,41,47,39,0.5713216066360474,0.7857572371324961,PASS,119,145007617,d49df6991d12750186b5d21e1494f8ddb128e8a4e3f3b3ee76fb7b9e66cdd1ea,Returned_Results/matrix_runs/no7/MU_Glioma_no7_unet_fold1_seed2028_results.zip,Kaggle_Returned_Zips/no7/MU_Glioma_no7_unet_fold1_seed2028_results.zip,MU_Glioma_no7_unet_fold1_seed2028_results.zip,no7.ipynb,6325665acdea513068b4a6914f7b6864a71046656f74e826fb93e5a9892fcfed,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no8,YES,DONE_VALIDATED,P100,Residual 3D U-Net,primary_five_fold_cross_validation,1,2026,6203,2026,381,130,94,32,119,41,50,42,0.6443414688110352,0.808813288052121,PASS,119,147019584,3f22299006bafa8f3a2bea68b22270cdc836b9e07a0ed92efcf690ce33617b93,Returned_Results/matrix_runs/no8/MU_Glioma_no8_residual-unet_fold1_seed2026_results.zip,Kaggle_Returned_Zips/no8/MU_Glioma_no8_residual-unet_fold1_seed2026_results.zip,MU_Glioma_no8_residual-unet_fold1_seed2026_results.zip,no8.ipynb,a67a1f7ec7d96ef7c25a4891cd5fbbbd3bb04c6ff56bfd2131f78994b3a00a63,f2fb55fec280e117e4bc502844ace52e7eb5a8875e36d80ba5e292591c107eb0,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no9,YES,DONE_VALIDATED,P100,Residual 3D U-Net,primary_five_fold_cross_validation,2,2026,6204,2026,381,130,94,32,119,41,43,35,0.5460373759269714,0.8159957568955172,PASS,119,147130820,0fbd0daf9d03d9fab5be6cf67ec381b8bd633951622f9a2d55dbcdbacaf4bedb,Returned_Results/matrix_runs/no9/MU_Glioma_no9_residual-unet_fold2_seed2026_results.zip,Kaggle_Returned_Zips/no9/MU_Glioma_no9_residual-unet_fold2_seed2026_results.zip,MU_Glioma_no9_residual-unet_fold2_seed2026_results.zip,no9.ipynb,bc4b16a37e7247fd5fef33ae9148ab5f888b01c35d8afa7671d08bcb73862f8d,675a1598256128813e41b8b301341050284feb0709de3c63bb6a72cd5601e22e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
no10,YES,DONE_VALIDATED,RTX 3050,Residual 3D U-Net,primary_five_fold_cross_validation,3,2026,6205,2026,381,130,94,32,119,41,47,46,0.5558595657348633,0.8037019990605626,PASS,119,147092016,c3ceee4b7407d8f4e9ace7524aa96b9bf88c84e59e98dd32615a0606087e3d69,Returned_Results/matrix_runs/no10/MU_Glioma_no10_residual-unet_fold3_seed2026_results.zip,local_training_outputs/MU_Glioma_no10_residual-unet_fold3_seed2026_results.zip,MU_Glioma_no10_residual-unet_fold3_seed2026_results.zip,no10.ipynb,1dee93536a39528ca03bba818e6c6aa9e0fe9b04cc8510fe4c551d492a486937,03e6710ea8a4eb8a4e679830cf1d64bde85bd9c31bfc502cf292b9eb6079023e,max 80; early stop after epoch 20 with min_delta 0.002/patience 8,
