run_id,status,platform,architecture,analysis_role,cv_fold,training_seed,completed_epochs,best_epoch,best_tuning_dice,outer_test_all_postoperative_mean_dice,prediction_files,archive_bytes,archive_sha256,packaged_zip,validation_record
no1,DONE_VALIDATED,T4,Standard 3D U-Net,primary_five_fold_cross_validation,1,2026,66,63,0.5965844988822937,0.7989148473508804,119,144782710,afde896a5e299987730cf394bbdb434fbaf8247493c1f4cc721b1ffbd3450734,results/validated_zips/no1/MU_Glioma_no1_unet_fold1_seed2026_results.zip,results/validation_records/no1.json
no2,DONE_VALIDATED,P100,Standard 3D U-Net,primary_five_fold_cross_validation,2,2026,62,61,0.5712268352508545,0.8302363251626184,119,144587451,2b64b471df8a23f895e26bd94da9c673cc172d8beef12cefc71faf93031e5b3c,results/validated_zips/no2/MU_Glioma_no2_unet_fold2_seed2026_results.zip,results/validation_records/no2.json
no3,DONE_VALIDATED,T4,Standard 3D U-Net,primary_five_fold_cross_validation,3,2026,53,45,0.5275169610977173,0.7889195907405254,119,144600310,5604c0a8d71230cfd30fa9a16a631ea9a0e1a0d6219ba66804651c619c471068,results/validated_zips/no3/MU_Glioma_no3_unet_fold3_seed2026_results.zip,results/validation_records/no3.json
no4,DONE_VALIDATED,P100,Standard 3D U-Net,primary_five_fold_cross_validation,4,2026,57,56,0.5153958797454834,0.7799271267004131,119,145522947,4a30ed8a87ce5f1ca7e2377a13d8a9851aa655e2dc96a4beca28bbeab1c6f41d,results/validated_zips/no4/MU_Glioma_no4_unet_fold4_seed2026_results.zip,results/validation_records/no4.json
no5,DONE_VALIDATED,RTX 3050,Standard 3D U-Net,primary_five_fold_cross_validation,5,2026,68,67,0.5894574522972107,0.7662707016880287,118,144478674,7d34e0572f9a7b3e23af926a7c75efdd6227930ab1a47dfa0efdd512a82070ec,results/validated_zips/no5/MU_Glioma_no5_unet_fold5_seed2026_results.zip,results/validation_records/no5.json
no6,DONE_VALIDATED,P100,Standard 3D U-Net,training_seed_robustness_fold1,1,2027,53,53,0.4754982888698578,0.7730817078399416,119,144925065,917e1dca6a3fbb723261dc6c2b7b0b459dbe074d8291e7b13937f741680dc677,results/validated_zips/no6/MU_Glioma_no6_unet_fold1_seed2027_results.zip,results/validation_records/no6.json
no7,DONE_VALIDATED,P100,Standard 3D U-Net,training_seed_robustness_fold1,1,2028,47,39,0.5713216066360474,0.7857572371324961,119,145007617,d49df6991d12750186b5d21e1494f8ddb128e8a4e3f3b3ee76fb7b9e66cdd1ea,results/validated_zips/no7/MU_Glioma_no7_unet_fold1_seed2028_results.zip,results/validation_records/no7.json
no8,DONE_VALIDATED,P100,Residual 3D U-Net,primary_five_fold_cross_validation,1,2026,50,42,0.6443414688110352,0.808813288052121,119,147019584,3f22299006bafa8f3a2bea68b22270cdc836b9e07a0ed92efcf690ce33617b93,results/validated_zips/no8/MU_Glioma_no8_residual-unet_fold1_seed2026_results.zip,results/validation_records/no8.json
no9,DONE_VALIDATED,P100,Residual 3D U-Net,primary_five_fold_cross_validation,2,2026,43,35,0.5460373759269714,0.8159957568955172,119,147130820,0fbd0daf9d03d9fab5be6cf67ec381b8bd633951622f9a2d55dbcdbacaf4bedb,results/validated_zips/no9/MU_Glioma_no9_residual-unet_fold2_seed2026_results.zip,results/validation_records/no9.json
no10,DONE_VALIDATED,RTX 3050,Residual 3D U-Net,primary_five_fold_cross_validation,3,2026,47,46,0.5558595657348633,0.8037019990605626,119,147092016,c3ceee4b7407d8f4e9ace7524aa96b9bf88c84e59e98dd32615a0606087e3d69,results/validated_zips/no10/MU_Glioma_no10_residual-unet_fold3_seed2026_results.zip,results/validation_records/no10.json
no11,DONE_VALIDATED,RTX 3050,Residual 3D U-Net,primary_five_fold_cross_validation,4,2026,38,37,0.54591304063797,0.8074478295868168,119,147419814,f6eebf164bef0cd8298838e0541425e7f33831124fc76b284cf5cb424403ad4e,results/validated_zips/no11/MU_Glioma_no11_residual-unet_fold4_seed2026_results.zip,results/validation_records/no11.json
no12,DONE_VALIDATED,RTX 3050,Residual 3D U-Net,primary_five_fold_cross_validation,5,2026,55,50,0.6293785572052002,0.7981766212243573,118,146569944,c884fa5809f2087187180cc0bd32c8a8848c650c3315073388c495933e695736,results/validated_zips/no12/MU_Glioma_no12_residual-unet_fold5_seed2026_results.zip,results/validation_records/no12.json
no13,DONE_VALIDATED,RTX 3050,Residual 3D U-Net,training_seed_robustness_fold1,1,2027,44,43,0.5414451360702515,0.8071156701057021,119,147103491,a3616ab4119a8f4487bfe24d930c4fd389aec325ac9134e94d5e15f5459f98c9,results/validated_zips/no13/MU_Glioma_no13_residual-unet_fold1_seed2027_results.zip,results/validation_records/no13.json
no14,DONE_VALIDATED,RTX 3050,Residual 3D U-Net,training_seed_robustness_fold1,1,2028,48,48,0.595086395740509,0.8211006816726154,119,147192305,f73934465a66cdf782c0bc4c8db0fb92784a7bbe200f66c349a3b6b91571cf7f,results/validated_zips/no14/MU_Glioma_no14_residual-unet_fold1_seed2028_results.zip,results/validation_records/no14.json
no15,DONE_VALIDATED,RTX 3050,Controlled 3D V-Net,primary_five_fold_cross_validation,1,2026,51,51,0.6240944862365723,0.8142261332544418,119,251648606,b36cac1ca3694ea7af2dbaa2738cab5cd20fc38595c3dbbaa2723d2e8b6c602e,results/validated_zips/no15/MU_Glioma_no15_vnet_fold1_seed2026_results.zip,results/validation_records/no15.json
no16,DONE_VALIDATED,RTX 3050,Controlled 3D V-Net,primary_five_fold_cross_validation,2,2026,40,35,0.515745222568512,0.8134529529195778,119,251626230,071ffc57a073dfffb24ef802bb90b6eb6e177464487ace31525672d4af01e0ac,results/validated_zips/no16/MU_Glioma_no16_vnet_fold2_seed2026_results.zip,results/validation_records/no16.json
no17,DONE_VALIDATED,RTX 3050,Controlled 3D V-Net,primary_five_fold_cross_validation,3,2026,53,45,0.5321917533874512,0.7853856211648791,119,251563996,5312726ad6d68ebf7076a93c688a7d87766b92af7f6575d2e1af9837b02fc5f8,results/validated_zips/no17/MU_Glioma_no17_vnet_fold3_seed2026_results.zip,results/validation_records/no17.json
no18,DONE_VALIDATED,RTX 3050,Controlled 3D V-Net,primary_five_fold_cross_validation,4,2026,53,45,0.5251361131668091,0.8085360518086172,119,252117201,5a6af3a4b90f853f3ac26aed49ef59dabbd0f713d5fc155ef676f1aebac7c70e,results/validated_zips/no18/MU_Glioma_no18_vnet_fold4_seed2026_results.zip,results/validation_records/no18.json
